club_name,player_name,age,position,club_involved_name,Status Transfer,Fees,transfer_movement
Al-Hilal SFC,Ruben  Neves,26,DM,Wolves,buying,55000000,in
Al-Taawoun FC,Saad Al-Nasser,22,AM,Al-Hilal,free transfer,0,in
Al-Nassr FC,Sadio Mana,31,LW,Bayern Munich,buying,30000000,in
Al-Fateh SC,Saeed Al-Basisi,22,RB,Jeddah FC,free transfer,0,in
Khaleej FC,Saeed Al-Hamsl,27,RB,Abha,free transfer,0,in
Al-Wehda FC,Saeed Al-Mowalad,32,RB,Al-Ettifaq,free transfer,0,in
Al-Riyadh SC,Saleh Al-Abbas,28,CF,Khaleej,free transfer,0,in
Ittihad Club,Saleh Al-Ohaymid,25,GK,Al-Kholood,free transfer,0,in
Abha Club,Saleh Al-Qumayzi,31,RB,Al-Faisaly FC,free transfer,0,in
Ittihad Club,Saleh Jamaan Al-Amri,29,LW,Abha,free transfer,0,in
Al-Ahli SFC,Salman Al-Muwashar,34,LW,Without Club,free transfer,0,out
Al-Shabab FC,Santi Mina,27,CF,Celta de Vigo,End of loan,0,out
Al-Wehda FC,Sattam Al-Tumbukti,21,DM,Al-Wehda FC U23,free transfer,0,in
Al-Nassr FC,Seko Fofana,28,CM,Lens,buying,25000000,in
Al-Raed SFC,Silviu Lung Jr.,34,GK,ACSM Poli Iasi,free transfer,0,out
Khaleej FC,Sokol Cikalleshi,32,CF,Konyaspor,End of loan,0,out
Al-Okhdood Club,Solomon Kvirkvelia,31,CB,Neftchi Baku,free transfer,0,in
Al-Hazem SC,Suleiman Al-Saeed,26,CF,Al-Jabalain,End of loan,0,out
Ittihad Club,Sultan Al-Farhan,26,DM,Al-Raed,free transfer,0,in
Damac FC,Sultan Faqihi,28,RB,Al-Hazem,free transfer,0,in
Al-Wehda FC,Sultan Hawsawi,22,CF,Al-Okhdood,free transfer,0,in
Al-Hazem SC,Sultan Tanker,24,CB,Jeddah FC,free transfer,0,in
Al-Ahli SFC,Sumaihan Al-Nabit,27,LW,Al-Taawoun,free transfer,0,in
Khaleej FC,Taher Al-Hajji,24,GK,Al-Faisaly FC,End of loan,0,out
Al-Hazem SC,Talal Al-Absi,30,CB,Al-Ahli,free transfer,0,in
Al-Tai FC,Tareq Abdullah,27,RB,Al-Taawoun,free transfer,0,in
Al-Wehda FC,Thamer Al-Ali,24,LW,Al-Ahli,free transfer,0,in
Al-Hazem SC,Toza,30,AM,Al-Nasr SC,free transfer,0,in
Al-Fateh SC,Tristan Dingoma,32,CM,Without Club,free transfer,0,out
Al-Hazem SC,Turki Al-Mutairi,22,CF,Al-Hilal,free transfer,0,in
Al-Hazem SC,Vina,32,AM,Ceará SC,loan transfer,0,in
Al-Tai FC,Virgil Misidjan,29,LW,Twente FC,free transfer,0,in
Al-Okhdood Club,Vladimir Stojkovic,26,GK,Al-Faisaly FC,free transfer,0,out
Al-Taawoun FC,Waleed Al-Ahmed,24,CB,Al-Faisaly FC,free transfer,0,in
Khaleej FC,Woo-Young Jung,33,DM,Al-Sadd SC,free transfer,0,in
Al-Ahli SFC,Yasser Al-Mosailem,39,GK,Retired,End of loan,0,out
Al-Hazem SC,Yazeed Al-Bakr,27,RB,Al-Taawoun,free transfer,0,in
Abha Club,Yousef Al-Aqeel,26,DM,Abha,free transfer,0,in
Al-Hazem SC,Yousef Al-Shammari,25,CF,Al-Batin,free transfer,0,in
Al-Hazem SC,Youssef Obama,28,AM,Zamalek,End of loan,0,out
Al-Ettifaq FC,Youssoufou Niakata,30,CF,FC Baniyas,free transfer,0,out
Al-Riyadh SC,Zaid Al-Bawardi,26,GK,Al-Shabab,free transfer,0,in
Ittihad Club,Ziyad Al-Sahafi,28,CB,Al-Taawoun,free transfer,0,in
